key,voltage
10,0.52
15,0.89
20,1.32
25,2.03
30,0.41
35,0.81
3,1.86
8,0.88
13,1.22
18,1.52
23,2.20
28,0.04
33,0.33
1,1.63
6,1.05
11,1.26
16,1.99
21,2.10
26,2.61
31,0.09
36,2.69
4,1.27
9,0.60
14,1.69
19,0.58
24,2.97
29,0.55
34,0.21
2,1.45
7,1.10
12,2.04
17,1.33
22,2.83
27,0.11
32,0.59
0,1.42
5,0.69
10,0.52
15,0.91
20,1.29
25,2.00
30,0.44
35,0.83
3,1.88
8,0.88
13,1.22
18,1.54
23,2.19
28,0.04
33,0.35
1,1.64
6,1.05
11,1.25
16,1.99
21,2.12
26,2.61
31,0.11
36,2.62
4,1.28
9,0.62
14,1.73
19,0.56
24,2.98
29,0.64
34,0.24
2,1.45
7,1.12
12,1.97
17,1.28
22,2.83
27,0.11
32,0.61
0,1.41
5,0.68
10,0.51
15,0.85
20,1.37
25,1.72
30,0.39
35,0.84
3,1.86
8,0.89
13,1.22
18,1.57
23,2.19
28,0.06
33,0.35
1,1.65
6,1.06
11,1.26
16,1.98
21,2.13
26,2.60
31,0.10
36,2.99
4,1.38
9,0.63
14,1.70
19,0.58
24,2.98
29,0.79
34,0.16
2,1.46
7,1.13
12,1.97
17,1.24
22,2.83
27,0.11
32,0.60
0,1.42
5,0.67
10,0.51
15,0.93
20,1.24
25,1.90
30,0.42
35,0.82
3,1.87
8,0.88
13,1.23
18,1.53
23,2.18
28,0.02
33,0.34
1,1.66
6,1.10
11,1.22
16,1.98
21,2.13
26,2.61
31,0.12
36,2.77
4,1.30
9,0.64
14,1.68
19,0.58
24,2.98
29,0.84
34,0.22
2,1.44
7,1.12
12,2.00
17,1.29
22,2.83
27,0.16
32,0.59
0,1.40
5,0.69
10,0.54
15,0.91
20,1.24
25,1.85
30,0.40
35,0.79
3,1.87
8,0.88
13,1.21
18,1.58
23,2.20
28,0.10
33,0.34
1,1.66
6,1.02
11,1.33
16,2.00
21,2.11
26,2.60
31,0.13
36,2.73
4,1.29
9,0.62
14,1.72
19,0.58
24,2.98
29,0.80
34,0.23
2,1.43
7,1.10
12,2.00
17,1.40
22,2.83
27,0.19
32,0.61
0,1.42
5,0.67
10,0.51
15,0.90
20,1.26
25,1.83
30,0.42
35,0.81
3,1.87
8,0.87
13,1.25
18,1.52
23,2.18
28,0.05
33,0.35
1,1.65
6,1.10
11,1.21
16,1.96
21,2.09
26,2.60
31,0.09
36,2.80
4,1.28
9,0.62
14,1.69
19,0.58
24,2.97
29,0.90
34,0.26
2,1.46
7,1.11
12,2.04
17,1.23
22,2.83
27,0.12
32,0.59
0,1.42
5,0.67
10,0.51
15,0.94
20,1.27
25,1.81
30,0.41
35,0.87
3,1.86
8,0.87
13,1.25
18,1.56
23,2.21
28,0.08
33,0.33
1,1.64
6,1.04
11,1.31
16,1.97
21,2.10
